$HOME/.local/bin/brilcalc lumi --normtag ~lumipro/public/normtag_file/moriond16_normtag.json -i Cert_13TeV_16Dec2015ReReco_Collisions15_25ns_JSON_Silver_v2.txt --hltpath HLT_Ele105_CaloIdVT_GsfTrkIdT_v* -u /pb > brilcalc_16Dec2015ReReco_Silver_el.txt

+-------------+-------------------+------+----------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                          | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+----------------------------------+----------------+---------------+
| 254231:4201 | 08/13/15 05:14:40 | 24   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 0.033          | 0.033         |
| 254232:4201 | 08/13/15 05:43:48 | 81   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 0.110          | 0.109         |
| 254790:4243 | 08/21/15 05:24:04 | 685  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 11.606         | 11.333        |
| 254852:4249 | 08/22/15 13:46:23 | 48   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 0.960          | 0.899         |
| 254879:4254 | 08/23/15 03:34:41 | 88   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 1.896          | 1.798         |
| 254906:4256 | 08/23/15 16:23:48 | 75   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 1.598          | 1.565         |
| 254907:4256 | 08/23/15 16:55:45 | 52   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 1.091          | 1.071         |
| 254914:4257 | 08/23/15 21:02:20 | 46   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 0.994          | 0.923         |
| 256630:4376 | 09/16/15 12:20:57 | 22   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.093          | 1.019         |
| 256673:4381 | 09/17/15 01:46:10 | 2    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.100          | 0.006         |
| 256674:4381 | 09/17/15 01:47:46 | 2    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.099          | 0.097         |
| 256675:4381 | 09/17/15 01:50:18 | 160  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.850          | 7.631         |
| 256676:4381 | 09/17/15 02:55:57 | 207  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 9.794          | 9.587         |
| 256677:4381 | 09/17/15 09:59:03 | 477  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 18.367         | 16.208        |
| 256729:4384 | 09/17/15 20:25:30 | 1707 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 71.654         | 69.233        |
| 256734:4384 | 09/18/15 08:06:26 | 211  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.651          | 7.462         |
| 256801:4386 | 09/18/15 16:00:54 | 189  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 9.511          | 9.237         |
| 256843:4391 | 09/19/15 07:02:10 | 971  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 40.362         | 39.193        |
| 256866:4393 | 09/19/15 22:02:52 | 14   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.758          | 0.060         |
| 256867:4393 | 09/19/15 22:11:45 | 92   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 4.914          | 4.778         |
| 256868:4393 | 09/19/15 22:55:07 | 486  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 24.546         | 23.626        |
| 256869:4393 | 09/20/15 02:07:40 | 34   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.652          | 1.613         |
| 256926:4397 | 09/20/15 19:09:17 | 28   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.690          | 1.586         |
| 256941:4398 | 09/21/15 07:30:01 | 209  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 9.412          | 9.153         |
| 257394:4410 | 09/24/15 02:14:13 | 32   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.909          | 1.736         |
| 257395:4410 | 09/24/15 02:28:44 | 13   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.772          | 0.748         |
| 257396:4410 | 09/24/15 02:38:46 | 216  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 12.447         | 11.886        |
| 257397:4410 | 09/24/15 04:06:57 | 119  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 6.617          | 6.372         |
| 257399:4410 | 09/24/15 05:12:49 | 271  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 14.476         | 14.021        |
| 257400:4410 | 09/24/15 07:03:56 | 1224 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 57.024         | 54.748        |
| 257461:4418 | 09/25/15 05:51:21 | 52   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 3.427          | 3.273         |
| 257487:4420 | 09/25/15 11:49:47 | 1073 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 70.072         | 67.904        |
| 257490:4420 | 09/25/15 18:55:00 | 591  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 33.316         | 32.444        |
| 257531:4423 | 09/26/15 09:37:19 | 135  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 9.395          | 8.953         |
| 257599:4426 | 09/26/15 21:47:23 | 77   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 5.565          | 5.278         |
| 257613:4428 | 09/27/15 04:26:52 | 1294 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 82.800         | 80.351        |
| 257614:4428 | 09/27/15 12:52:08 | 16   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.919          | 0.899         |
| 257645:4432 | 09/27/15 23:26:52 | 1059 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 68.160         | 66.315        |
| 257682:4434 | 09/28/15 11:59:23 | 301  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 14.570         | 14.060        |
| 257722:4435 | 09/28/15 17:20:59 | 19   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.957          | 0.874         |
| 257723:4435 | 09/28/15 17:31:51 | 142  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.019          | 6.416         |
| 257735:4435 | 09/28/15 22:05:27 | 15   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.588          | 0.576         |
| 257751:4437 | 09/29/15 04:53:56 | 463  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 29.680         | 28.892        |
| 257804:4440 | 09/29/15 13:35:04 | 17   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.317          | 0.226         |
| 257805:4440 | 09/29/15 13:49:01 | 249  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 18.741         | 18.192        |
| 257816:4440 | 09/29/15 15:33:56 | 385  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 26.638         | 25.831        |
| 257819:4440 | 09/29/15 18:11:51 | 248  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 16.591         | 16.070        |
| 257822:4440 | 09/29/15 20:00:34 | 1388 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 81.451         | 79.302        |
| 257823:4440 | 09/30/15 05:05:37 | 171  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 9.030          | 8.785         |
| 257968:4444 | 09/30/15 23:42:22 | 258  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 18.565         | 17.948        |
| 257969:4444 | 10/01/15 01:24:08 | 634  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 42.819         | 41.763        |
| 258129:4448 | 10/02/15 09:56:47 | 95   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 6.427          | 6.161         |
| 258136:4448 | 10/02/15 10:38:14 | 60   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 3.982          | 3.834         |
| 258157:4449 | 10/02/15 14:07:10 | 56   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 4.247          | 4.130         |
| 258158:4449 | 10/02/15 14:33:52 | 1784 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 115.154        | 112.208       |
| 258159:4449 | 10/03/15 02:09:44 | 501  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 27.649         | 27.042        |
| 258177:4452 | 10/03/15 20:21:28 | 1905 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 115.286        | 112.358       |
| 258211:4455 | 10/04/15 16:54:29 | 87   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.181          | 6.900         |
| 258213:4455 | 10/04/15 17:32:20 | 165  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 12.775         | 12.448        |
| 258214:4455 | 10/04/15 18:38:59 | 217  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 16.794         | 16.374        |
| 258215:4455 | 10/04/15 20:07:49 | 6    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.455          | 0.444         |
| 258287:4462 | 10/05/15 15:44:45 | 180  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 14.851         | 14.271        |
| 258403:4466 | 10/06/15 14:10:07 | 251  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 16.927         | 16.555        |
| 258425:4467 | 10/06/15 18:50:09 | 134  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 11.442         | 10.949        |
| 258426:4467 | 10/06/15 20:00:12 | 10   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.831          | 0.809         |
| 258427:4467 | 10/06/15 20:06:18 | 107  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 8.809          | 8.498         |
| 258428:4467 | 10/06/15 20:54:17 | 159  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 12.770         | 12.441        |
| 258432:4467 | 10/06/15 23:04:32 | 4    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.306          | 0.299         |
| 258434:4467 | 10/06/15 23:11:39 | 453  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 33.448         | 32.645        |
| 258440:4467 | 10/07/15 02:10:32 | 731  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 48.914         | 47.655        |
| 258443:4467 | 10/07/15 07:04:45 | 291  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 18.162         | 17.718        |
| 258444:4467 | 10/07/15 09:00:44 | 37   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 2.256          | 2.209         |
| 258445:4467 | 10/07/15 09:52:47 | 302  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 17.747         | 17.379        |
| 258446:4467 | 10/07/15 11:52:39 | 142  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 8.068          | 7.907         |
| 258448:4467 | 10/07/15 12:53:07 | 729  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 38.464         | 37.636        |
| 258655:4476 | 10/09/15 11:20:05 | 9    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.800          | 0.412         |
| 258656:4476 | 10/09/15 11:24:46 | 334  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 28.462         | 27.562        |
| 258694:4477 | 10/09/15 19:55:27 | 177  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 17.462         | 16.613        |
| 258702:4479 | 10/10/15 07:31:21 | 351  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 32.910         | 31.593        |
| 258703:4479 | 10/10/15 09:48:30 | 389  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 34.739         | 33.749        |
| 258705:4479 | 10/10/15 13:01:34 | 100  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 8.451          | 8.216         |
| 258706:4479 | 10/10/15 13:44:18 | 733  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 57.585         | 56.093        |
| 258712:4479 | 10/10/15 18:36:26 | 524  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 37.898         | 36.912        |
| 258713:4479 | 10/10/15 22:03:19 | 161  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 11.128         | 10.869        |
| 258714:4479 | 10/10/15 23:06:33 | 67   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 4.571          | 4.463         |
| 258741:4485 | 10/11/15 15:12:30 | 51   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 5.309          | 4.899         |
